"","Project","ErrorType","Class","Method","ViolatedRule","Object","Statement","Source.Code"
"11","app.zeusln.zeus_25.apk","RequiredPredicateError","com.RNFetchBlob.D","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient)","violating CrySL rule for javax.net.ssl.SSLContext ","Second parameter was not properly generated as generated Trust Managers","virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2978, $r13, $r0)","https://github.com/ZeusLN/zeus"
"12","app.zeusln.zeus_25.apk","RequiredPredicateError","com.facebook.react.modules.network.C","void <init>()","violating CrySL rule for javax.net.ssl.SSLContext ","Third parameter was not properly generated as randomized","virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer19150, varReplacer19150, varReplacer19150)","https://github.com/ZeusLN/zeus"
"13","app.zeusln.zeus_25.apk","ConstraintError","e.j","e.j d(java.lang.String)","violating CrySL rule for java.security.MessageDigest (on Object #4d27b5986152e13bbe93aa1ffdd8d63789195f5d951994726c6b735bb001e636)","First parameter (with value ""SHA-1"") should be any of {SHA-256, SHA-384, SHA-512}","$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)","https://github.com/ZeusLN/zeus"
"14","app.zeusln.zeus_25.apk","RequiredPredicateError","com.RNFetchBlob.A","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder)","violating CrySL rule for javax.net.ssl.TrustManagerFactory ","First parameter was not properly generated as generated Key Store","virtualinvoke $r3.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer2966)","https://github.com/ZeusLN/zeus"
"15","app.zeusln.zeus_25.apk","ConstraintError","com.RNFetchBlob.A","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder)","violating CrySL rule for javax.net.ssl.SSLContext (on Object #b7b9ed71fbf472b4beeffe489569160d15a137e1ec066cbfb02107d05e03e9fc)","First parameter (with value ""SSL"") should be any of {TLSv1.2, TLSv1.3}","$r7 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2972)","https://github.com/ZeusLN/zeus"
"16","app.zeusln.zeus_25.apk","RequiredPredicateError","com.RNFetchBlob.A","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder)","violating CrySL rule for javax.net.ssl.SSLContext ","Second parameter was not properly generated as generated Trust Managers","virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2967, $r4, varReplacer2967)","https://github.com/ZeusLN/zeus"
"17","app.zeusln.zeus_25.apk","ConstraintError","com.facebook.react.modules.network.C","void <init>()","violating CrySL rule for javax.net.ssl.SSLContext (on Object #2356123c7b9ddf76a6f327b60c4d82c90a76be339ec5bc4be0739710ebb83980)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer19149)","https://github.com/ZeusLN/zeus"
"18","app.zeusln.zeus_25.apk","RequiredPredicateError","com.RNFetchBlob.A","okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder)","violating CrySL rule for javax.net.ssl.SSLContext ","Third parameter was not properly generated as randomized","virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2967, $r4, varReplacer2967)","https://github.com/ZeusLN/zeus"
"19","app.zeusln.zeus_25.apk","ConstraintError","e.j","e.j d(java.lang.String)","violating CrySL rule for java.security.MessageDigest (on Object #4d27b5986152e13bbe93aa1ffdd8d63789195f5d951994726c6b735bb001e636)","First parameter (with value ""MD5"") should be any of {SHA-256, SHA-384, SHA-512}","$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)","https://github.com/ZeusLN/zeus"
"20","app.zeusln.zeus_25.apk","RequiredPredicateError","com.facebook.react.modules.network.C","void <init>()","violating CrySL rule for javax.net.ssl.SSLContext ","First parameter was not properly generated as generated Key Managers","virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer19150, varReplacer19150, varReplacer19150)","https://github.com/ZeusLN/zeus"
"21","com.arduia.expense_11.apk","RequiredPredicateError","y.a0","void <init>()","violating CrySL rule for javax.net.ssl.SSLContext ","Third parameter was not properly generated as randomized","virtualinvoke $r18.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15177, $r14, varReplacer15177)","https://github.com/arduia/ProExpense"
"22","com.arduia.expense_11.apk","RequiredPredicateError","y.a0","void <init>()","violating CrySL rule for javax.net.ssl.SSLContext ","First parameter was not properly generated as generated Key Managers","virtualinvoke $r18.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15177, $r14, varReplacer15177)","https://github.com/arduia/ProExpense"
"23","com.arduia.expense_11.apk","RequiredPredicateError","y.a0","void <init>()","violating CrySL rule for javax.net.ssl.SSLContext ","Second parameter was not properly generated as generated Trust Managers","virtualinvoke $r18.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15177, $r14, varReplacer15177)","https://github.com/arduia/ProExpense"
"24","com.arduia.expense_11.apk","RequiredPredicateError","y.a0","void <init>()","violating CrySL rule for javax.net.ssl.TrustManagerFactory ","First parameter was not properly generated as generated Key Store","virtualinvoke $r13.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer15183)","https://github.com/arduia/ProExpense"
"25","com.arduia.expense_11.apk","ConstraintError","z.i","z.i e(java.lang.String)","violating CrySL rule for java.security.MessageDigest (on Object #92b64d1e390e57868b392dbe57fd78a85b04cdc5efd960a97603c16c177f6c1e)","First parameter (with value ""MD5"") should be any of {SHA-256, SHA-384, SHA-512}","$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)","https://github.com/arduia/ProExpense"
"26","com.arduia.expense_11.apk","ConstraintError","y.m0.l.b","javax.net.ssl.SSLContext i()","violating CrySL rule for javax.net.ssl.SSLContext (on Object #621f6a5e4f574add429b15ccf9701286256aa7c84a5e51acefea902d26e2225b)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer19187)","https://github.com/arduia/ProExpense"
"27","com.arduia.expense_11.apk","ConstraintError","y.m0.l.c","javax.net.ssl.SSLContext i()","violating CrySL rule for javax.net.ssl.SSLContext (on Object #f9b90b6c43c5604954e8fb8f6c70669c783748ec1ea1055734719cee5fe5694)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer19189, $r2)","https://github.com/arduia/ProExpense"
"28","com.arduia.expense_11.apk","ConstraintError","y.m0.l.f","javax.net.ssl.SSLContext i()","violating CrySL rule for javax.net.ssl.SSLContext (on Object #65b77379f4ae3625e8838224ec813d1fa81921d46e1ec1a400ab810d637a99fa)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer19191)","https://github.com/arduia/ProExpense"
"29","com.blogspot.e_kanivets.moneytracker_36.apk","RequiredPredicateError","com.dropbox.core.http.SSLConfig","javax.net.ssl.SSLContext createSSLContext(javax.net.ssl.TrustManager[])","violating CrySL rule for javax.net.ssl.SSLContext ","Third parameter was not properly generated as randomized","virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer45846, $r0, varReplacer45846)","https://github.com/xorum-io/open_money_tracker"
"30","com.blogspot.e_kanivets.moneytracker_36.apk","HardCodedError","com.dropbox.core.http.SSLConfig","java.security.KeyStore loadKeyStore(java.lang.String)","violating CrySL rule for java.security.KeyStore (on Object #fd8f957ba45ed77f29cb9c7a8db87636b6ee8f52809a0624c25d29a0335bb140)","Second parameter should never be hardcoded.","virtualinvoke $r2.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer45854, $r3)","https://github.com/xorum-io/open_money_tracker"
"31","com.blogspot.e_kanivets.moneytracker_36.apk","ConstraintError","com.dropbox.core.http.SSLConfig","javax.net.ssl.SSLContext createSSLContext(javax.net.ssl.TrustManager[])","violating CrySL rule for javax.net.ssl.SSLContext (on Object #321d412a6d926de9c4886aa35103698a908e2e467d4840af96bec9aeea488921)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer45844)","https://github.com/xorum-io/open_money_tracker"
"32","com.blogspot.e_kanivets.moneytracker_36.apk","RequiredPredicateError","com.dropbox.core.http.SSLConfig","javax.net.ssl.SSLContext createSSLContext(javax.net.ssl.TrustManager[])","violating CrySL rule for javax.net.ssl.SSLContext ","First parameter was not properly generated as generated Key Managers","virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer45846, $r0, varReplacer45846)","https://github.com/xorum-io/open_money_tracker"
"33","com.blogspot.e_kanivets.moneytracker_36.apk","RequiredPredicateError","com.dropbox.core.http.SSLConfig","javax.net.ssl.X509TrustManager createTrustManager(java.security.KeyStore)","violating CrySL rule for javax.net.ssl.TrustManagerFactory ","First parameter was not properly generated as generated Key Store","virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r1)","https://github.com/xorum-io/open_money_tracker"
"34","com.blogspot.e_kanivets.moneytracker_36.apk","ConstraintError","com.dropbox.core.http.SSLConfig","javax.net.ssl.X509TrustManager createTrustManager(java.security.KeyStore)","violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #2f1b0d03ad5216d84b3e29934d3d733552b178f9ed3809c7ab772923555518ca)","First parameter (with value ""X509"") should be any of {PKIX, SunX509}","$r2 = staticinvoke <javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManagerFactory getInstance(java.lang.String)>(varReplacer45849)","https://github.com/xorum-io/open_money_tracker"
"35","com.blogspot.e_kanivets.moneytracker_36.apk","RequiredPredicateError","com.dropbox.core.http.SSLConfig","javax.net.ssl.SSLContext createSSLContext(javax.net.ssl.TrustManager[])","violating CrySL rule for javax.net.ssl.SSLContext ","Second parameter was not properly generated as generated Trust Managers","virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer45846, $r0, varReplacer45846)","https://github.com/xorum-io/open_money_tracker"
"36","com.btcontract.wallet_86.apk","RequiredPredicateError","io.netty.handler.ssl.Java9SslUtils","void <clinit>()","violating CrySL rule for javax.net.ssl.SSLContext ","Third parameter was not properly generated as randomized","virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer81668, varReplacer81668, varReplacer81668)","https://github.com/btcontract/wallet"
"37","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.handler.ssl.ReferenceCountedOpenSslEngine","void setEnabledCipherSuites(java.lang.String[])","violating CrySL rule for javax.net.ssl.SSLEngine (on Object #fa3cf8dcf2d83c4aa0f5f0eafac09ac9d086f4235ea298c2eb53ff68e703eac1)","Operation on object of type javax.net.ssl.SSLEngine object not completed. Expected call to setEnabledProtocols","$z0 = specialinvoke r0.<io.netty.handler.ssl.ReferenceCountedOpenSslEngine: boolean isDestroyed()>()","https://github.com/btcontract/wallet"
"38","com.btcontract.wallet_86.apk","IncompleteOperationError","com.google.common.base.PairwiseEquivalence","boolean doEquivalent(java.lang.Object,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #f37288e170c418deeb350ba6b479c9e0f93f939bfaaee77faaa6f4389d2db744)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$z0 = virtualinvoke r0.<com.google.common.base.PairwiseEquivalence: boolean doEquivalent(java.lang.Iterable,java.lang.Iterable)>($r3, $r4)","https://github.com/btcontract/wallet"
"39","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.concurrent.FastThreadLocal","java.lang.Object get()","violating CrySL rule for java.security.MessageDigest (on Object #f37288e170c418deeb350ba6b479c9e0f93f939bfaaee77faaa6f4389d2db744)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r1 = specialinvoke r0.<io.netty.util.concurrent.FastThreadLocal: java.lang.Object initialize(io.netty.util.internal.InternalThreadLocalMap)>($r2)","https://github.com/btcontract/wallet"
"40","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.internal.ReferenceCountUpdater","boolean retryRelease0(io.netty.util.ReferenceCounted,int)","violating CrySL rule for javax.net.ssl.SSLEngine (on Object #fa3cf8dcf2d83c4aa0f5f0eafac09ac9d086f4235ea298c2eb53ff68e703eac1)","Operation on object of type javax.net.ssl.SSLEngine object not completed. Expected call to setEnabledProtocols","$i1 = virtualinvoke $r2.<java.util.concurrent.atomic.AtomicIntegerFieldUpdater: int get(java.lang.Object)>($r1)","https://github.com/btcontract/wallet"
"41","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.handler.ssl.ReferenceCountedOpenSslClientContext","io.netty.handler.ssl.OpenSslSessionContext newSessionContext(io.netty.handler.ssl.ReferenceCountedOpenSslContext,long,io.netty.handler.ssl.OpenSslEngineMap,java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.String)","violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3b80fac0b5bb98178f7aad616cf6f46ce4843933637dad1d2380b3118572829d)","Operation on object of type javax.net.ssl.KeyManagerFactory object not completed. Expected call to init","specialinvoke $r30.<io.netty.handler.ssl.OpenSslX509KeyManagerFactory: void <init>()>()","https://github.com/btcontract/wallet"
"42","com.btcontract.wallet_86.apk","IncompleteOperationError","com.google.common.base.PairwiseEquivalence","boolean doEquivalent(java.lang.Object,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #5d8405c21865f2fac89e759c9afcd067b500cfb62483d4ee252245641a30f778)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$z0 = virtualinvoke r0.<com.google.common.base.PairwiseEquivalence: boolean doEquivalent(java.lang.Iterable,java.lang.Iterable)>($r3, $r4)","https://github.com/btcontract/wallet"
"43","com.btcontract.wallet_86.apk","IncompleteOperationError","com.google.common.base.PairwiseEquivalence","boolean doEquivalent(java.lang.Object,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #f23fea6e96c714e607e927352aa3d472bbeb1c8da35b94aa7584171bcc99eca4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$z0 = virtualinvoke r0.<com.google.common.base.PairwiseEquivalence: boolean doEquivalent(java.lang.Iterable,java.lang.Iterable)>($r3, $r4)","https://github.com/btcontract/wallet"
"44","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.concurrent.FastThreadLocal","void remove(io.netty.util.internal.InternalThreadLocalMap)","violating CrySL rule for java.security.MessageDigest (on Object #f37288e170c418deeb350ba6b479c9e0f93f939bfaaee77faaa6f4389d2db744)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke r0.<io.netty.util.concurrent.FastThreadLocal: void onRemoval(java.lang.Object)>($r1)","https://github.com/btcontract/wallet"
"45","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.internal.InternalThreadLocalMap","boolean setIndexedVariable(int,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #f23fea6e96c714e607e927352aa3d472bbeb1c8da35b94aa7584171bcc99eca4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r3 = $r2[$i0]","https://github.com/btcontract/wallet"
"46","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.concurrent.FastThreadLocal","void remove(io.netty.util.internal.InternalThreadLocalMap)","violating CrySL rule for java.security.MessageDigest (on Object #f23fea6e96c714e607e927352aa3d472bbeb1c8da35b94aa7584171bcc99eca4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke r0.<io.netty.util.concurrent.FastThreadLocal: void onRemoval(java.lang.Object)>($r1)","https://github.com/btcontract/wallet"
"47","com.btcontract.wallet_86.apk","RequiredPredicateError","io.netty.handler.ssl.OpenSslX509TrustManagerWrapper$UnsafeTrustManagerWrapper","javax.net.ssl.X509TrustManager wrapIfNeeded(javax.net.ssl.X509TrustManager)","violating CrySL rule for javax.net.ssl.SSLContext ","Third parameter was not properly generated as randomized","virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer87258, $r8, varReplacer87258)","https://github.com/btcontract/wallet"
"48","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.channel.ChannelOutboundBuffer","java.nio.ByteBuffer[] nioBuffers(int,long)","violating CrySL rule for java.security.MessageDigest (on Object #5d8405c21865f2fac89e759c9afcd067b500cfb62483d4ee252245641a30f778)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke $r2.<io.netty.util.concurrent.FastThreadLocal: void set(io.netty.util.internal.InternalThreadLocalMap,java.lang.Object)>($r1, $r7)","https://github.com/btcontract/wallet"
"49","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.Recycler$2","void onRemoval(java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #f23fea6e96c714e607e927352aa3d472bbeb1c8da35b94aa7584171bcc99eca4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke r0.<io.netty.util.Recycler$2: void onRemoval(io.netty.util.Recycler$Stack)>($r2)","https://github.com/btcontract/wallet"
"50","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.Recycler$2","void onRemoval(java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #5d8405c21865f2fac89e759c9afcd067b500cfb62483d4ee252245641a30f778)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke r0.<io.netty.util.Recycler$2: void onRemoval(io.netty.util.Recycler$Stack)>($r2)","https://github.com/btcontract/wallet"
"51","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.concurrent.FastThreadLocal","java.lang.Object get()","violating CrySL rule for java.security.MessageDigest (on Object #f23fea6e96c714e607e927352aa3d472bbeb1c8da35b94aa7584171bcc99eca4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r1 = specialinvoke r0.<io.netty.util.concurrent.FastThreadLocal: java.lang.Object initialize(io.netty.util.internal.InternalThreadLocalMap)>($r2)","https://github.com/btcontract/wallet"
"52","com.btcontract.wallet_86.apk","TypestateError","immortan.utils.AES$","scodec.bits.ByteVector decode(byte[],byte[],byte[])","violating CrySL rule for javax.crypto.Cipher (on Object #e969de9a5b6731d1bc35d4db39cd7f63bc4008bd4e11d44d05e3f2e832c129c5)","Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD","$r3 = virtualinvoke $r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)","https://github.com/btcontract/wallet"
"53","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.channel.ChannelOutboundBuffer","java.nio.ByteBuffer[] nioBuffers(int,long)","violating CrySL rule for java.security.MessageDigest (on Object #f37288e170c418deeb350ba6b479c9e0f93f939bfaaee77faaa6f4389d2db744)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r3 = virtualinvoke $r2.<io.netty.util.concurrent.FastThreadLocal: java.lang.Object get(io.netty.util.internal.InternalThreadLocalMap)>($r1)","https://github.com/btcontract/wallet"
"54","com.btcontract.wallet_86.apk","RequiredPredicateError","io.netty.handler.ssl.ReferenceCountedOpenSslClientContext","io.netty.handler.ssl.OpenSslSessionContext newSessionContext(io.netty.handler.ssl.ReferenceCountedOpenSslContext,long,io.netty.handler.ssl.OpenSslEngineMap,java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.String)","violating CrySL rule for javax.net.ssl.TrustManagerFactory ","First parameter was not properly generated as generated Key Store","virtualinvoke $r22.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer84566)","https://github.com/btcontract/wallet"
"55","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.util.concurrent.FastThreadLocal","java.lang.Object get()","violating CrySL rule for java.security.MessageDigest (on Object #5d8405c21865f2fac89e759c9afcd067b500cfb62483d4ee252245641a30f778)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r1 = specialinvoke r0.<io.netty.util.concurrent.FastThreadLocal: java.lang.Object initialize(io.netty.util.internal.InternalThreadLocalMap)>($r2)","https://github.com/btcontract/wallet"
"56","com.btcontract.wallet_86.apk","IncompleteOperationError","io.netty.channel.ChannelOutboundBuffer","java.nio.ByteBuffer[] nioBuffers(int,long)","violating CrySL rule for java.security.MessageDigest (on Object #f23fea6e96c714e607e927352aa3d472bbeb1c8da35b94aa7584171bcc99eca4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke $r2.<io.netty.util.concurrent.FastThreadLocal: void set(io.netty.util.internal.InternalThreadLocalMap,java.lang.Object)>($r1, $r7)","https://github.com/btcontract/wallet"
